	N1	N2	N3	N4	Repeat Content
k102_ecoli_20X_1	4454048.721768781	172499.57421225027	19385.443733306332	2063.059130292143	193948.07707584876
k108_ecoli_20X_1	4497416.6564016845	176589.0309336287	36629.23918249544	2024.341258465597	215242.61137458973
k114_ecoli_20X_1	4757842.626957029	1.515321043151077e-16	31073.51790020871	3958.6502104874653	35032.16811069618
k120_ecoli_20X_1	8180.304997753921	88.44936292583046	0.03084662118773126	0.021363243933509087	88.5015727909517
k126_ecoli_20X_1	11374.866806286158	746.420830764412	24.423799349261113	0.0006563406171816102	770.8452864542903
k30_ecoli_20X_1	4532637.195618475	60752.887950000586	3498.2120151784966	1046.1408803319148	65297.240845511
k36_ecoli_20X_1	4526686.185489582	68288.2748264755	2069.811519637792	887.06496347279	71245.15130958609
k42_ecoli_20X_1	4525626.726808144	74044.24001785395	2493.2992548525726	633.2860141859567	77170.82528689248
k48_ecoli_20X_1	4473482.463601739	88020.10765379443	2329.185562238175	1014.2391198759184	91363.53233590852
k54_ecoli_20X_1	4517579.263692908	89008.44867262883	1921.6144244136701	646.2604007719185	91576.32349781442
k60_ecoli_20X_1	4511550.108792786	102519.33307510465	2632.868203801064	576.09323322569	105728.2945121314
k66_ecoli_20X_1	4519790.522054707	124230.80097103505	2502.7149389861825	784.4209355910513	127517.93684561229
k72_ecoli_20X_1	4562447.89062306	118363.46579894735	4025.775938102667	870.5098953022828	123259.7516323523
k78_ecoli_20X_1	4503738.565849623	150812.16106778843	4463.859788249605	966.0216469457406	156242.04250298376
k84_ecoli_20X_1	4527685.341936269	146193.5623270693	5677.604951782747	664.1922524397421	152535.35953129176
k90_ecoli_20X_1	4518378.230396964	158988.0605508878	7881.070774408339	773.9564784458669	167643.08780374203
k96_ecoli_20X_1	4488216.002492635	176475.7031437325	11559.581753935325	1025.174652101283	189060.45954976912
k102_ecoli_50X_1	4510304.60597156	39123.46365506267	2265.877428072374	292.0845938914384	41681.42567702648
k108_ecoli_50X_1	4570066.897569565	53835.6853180761	2015.3614378239813	549.9852918936151	56401.0320477937
k114_ecoli_50X_1	4567513.801878931	70695.96507773544	2143.0596094215266	957.3216328177239	73796.34631997469
k120_ecoli_50X_1	4621568.486316502	78320.5145332661	1885.4272274576763	445.74760076148493	80651.68936148527
k126_ecoli_50X_1	4609895.028171901	107184.05179811611	6554.696638546136	1056.5432592061943	114795.29169586845
k36_ecoli_50X_1	34621.015780544	4257.738044345512	673.0437704269989	1628.6816735374807	6559.463488309992
k42_ecoli_50X_1	223321.07559179986	5163.099975536976	1229.9775578352644	837.4054916698418	7230.483025042082
k48_ecoli_50X_1	4487969.287859412	8064.019739235461	1309.1425774283846	119.56649478612132	9492.728811449966
k54_ecoli_50X_1	4528821.577526508	6572.588281854389	1742.8428830349933	300.3505476803606	8615.781712569742
k60_ecoli_50X_1	4534499.902285508	9641.384538757498	1450.6515241637787	250.00499868208368	11342.04106160336
k66_ecoli_50X_1	4541786.431681377	9381.896290349134	1122.3025558027605	449.2669298016717	10953.465775953566
k72_ecoli_50X_1	4572650.661370709	13282.499599759049	1664.965768955194	377.7280853101126	15325.193454024355
k78_ecoli_50X_1	4542664.055718295	14411.552492817307	1868.618527740104	269.456976333552	16549.627996890962
k84_ecoli_50X_1	4547992.964582227	16192.407077764175	1375.7866857487998	413.2150636875048	17981.40882720048
k90_ecoli_50X_1	4553103.05718165	23639.559768724874	1743.598007071531	390.64903811881254	25773.806813915216
k96_ecoli_50X_1	4543052.279474344	31122.741554863816	1631.1933923238023	346.39693822714486	33100.331885414766
