	N1	N2	N3	N4	Repeat Content
k102_ecoli_20X_noerr_1	13580.83616383383	1212.3314799759983	763.4588961797333	62.6975168018285	0.13051063449005088
k108_ecoli_20X_noerr_1	14836.30643808858	3.844097007897726e-12	1095.9220342393571	455.9687439798814	0.09469563721596924
k114_ecoli_20X_noerr_1	21465.53580498872	1.1855501381079822e-33	2383.5032113616953	1333.7262277666039	0.1476100580335071
k120_ecoli_20X_noerr_1	16666.241271200306	760.4654170230241	424.88362060034393	200.88515208615738	0.07678914687967454
k126_ecoli_20X_noerr_1	13357.047670814907	1.261303935041372e-13	295.2588773836773	5.259868910145359e-09	0.021627032497873615
k30_ecoli_20X_noerr_1	4520829.821537733	51681.58628252151	2972.135511000014	528.2247549555003	0.012058960803668419
k36_ecoli_20X_noerr_1	4505469.461658707	62385.096395664565	2515.638483883363	467.33996576869254	0.014301115347738428
k42_ecoli_20X_noerr_1	4517826.319224567	63968.61664631635	2219.288913646114	318.7537610608634	0.01450737972836411
k48_ecoli_20X_noerr_1	4466531.637145814	69453.55219913932	2479.8967912022163	736.9897773269486	0.016009518314525375
k54_ecoli_20X_noerr_1	4507520.623993081	76933.26939925445	2276.9986424354493	561.4735705915272	0.017389722575869508
k60_ecoli_20X_noerr_1	4491935.909131822	87953.91890232662	2551.369311834072	469.7137220967077	0.019850920888849453
k66_ecoli_20X_noerr_1	4502661.729980743	96422.92939164538	2454.7393646204573	129.29626120555037	0.021515448325318827
k72_ecoli_20X_noerr_1	29930.53520059169	6.447776011110852e-36	2272.945485533582	1252.4176083526909	0.10537344006895635
k78_ecoli_20X_noerr_1	40442.99476397776	2.6603737096004707e-28	2377.9689921664003	1950.5513569106133	0.09668022934106323
k84_ecoli_20X_noerr_1	11007.542618995576	1825.9530592592002	975.1533885801784	445.0911879496566	0.22774356609307309
k90_ecoli_20X_noerr_1	38324.27044129173	8.650125359761772e-30	2334.3552822980887	2416.464786945501	0.11029158645834146
k96_ecoli_20X_noerr_1	16945.292798111073	9.136651116380677e-20	2155.3492408719667	810.9677733528225	0.14897424377947902
k102_ecoli_50X_noerr_1	4521641.227509997	14156.37343610452	1294.3782908984995	536.2608777911546	0.0035232089891061116
k108_ecoli_50X_noerr_1	4576709.4486706555	19753.54428985342	1568.1414271746376	261.54005262099764	0.004693747722849357
k114_ecoli_50X_noerr_1	4560243.860902363	30982.106229092606	1449.2911660139218	571.4510503370747	0.007185080735654554
k120_ecoli_50X_noerr_1	4558175.211285446	49369.60212259832	1551.08669548965	527.6019665671056	0.011161061366844938
k126_ecoli_50X_noerr_1	14388.08905623041	2213.330057148729	1790.1400869990393	195.3071872386523	0.22590022674202798
k30_ecoli_50X_noerr_1	4534940.297348201	7951.651972711602	1771.6353687648536	297.7297009488052	0.002204863000856773
k36_ecoli_50X_noerr_1	4531585.876673892	5909.070227616593	1524.3273914967442	168.69186995856458	0.0016747686030499525
k42_ecoli_50X_noerr_1	4529525.135691618	7200.888059077513	1266.3082880903157	138.5009945425101	0.0018963087796122907
k48_ecoli_50X_noerr_1	5011229.715914664	7432.0384908257865	1991.4348679067086	395.69552254472677	0.0019556011316699783
k54_ecoli_50X_noerr_1	4535455.272769937	6346.1445837040965	1551.6699134655628	173.9943919197247	0.001776551288023145
k60_ecoli_50X_noerr_1	4528337.366821611	9905.689369517584	1584.4018538237524	364.49452842253044	0.0026110318408552537
k66_ecoli_50X_noerr_1	101121.06391843088	2610.7830319649024	1215.4530260042548	615.0732846570543	0.04207284475920976
k72_ecoli_50X_noerr_1	4577072.212719371	9390.478983561456	1701.327614566321	161.60654077876575	0.002452618679782893
k78_ecoli_50X_noerr_1	4545733.384373435	10398.526016077585	1422.6900718801287	286.2847489519301	0.0026564114768018897
k84_ecoli_50X_noerr_1	31100.350097343115	2686.193743001276	900.30418272006	1340.597191077217	0.1367594923123926
k90_ecoli_50X_noerr_1	26489.64257977644	2422.830179568922	1553.263168906464	1398.3860146672737	0.16866867923649112
k96_ecoli_50X_noerr_1	4546867.055054301	15753.417609804907	956.6117592327354	277.32467326436296	0.0037221507347918632
