	F1	F0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100	f101	f102	f103	f104	f105	f106	f107	f108	f109	f110	f111	f112	f113	f114	f115	f116	f117	f118	f119	f120	f121	f122	f123	f124	f125	f126	f127	f128	f129	f130	f131	f132	f133	f134	f135	f136	f137	f138	f139	f140	f141	f142	f143	f144	f145	f146	f147	f148	f149	f150	f151	f152	f153	f154	f155	f156	f157	f158	f159	f160	f161	f162	f163	f164	f165	f166	f167	f168	f169	f170	f171	f172	f173	f174	f175	f176	f177	f178	f179	f180	f181	f182	f183	f184	f185	f186	f187	f188	f189	f190	f191	f192	f193	f194	f195	f196	f197	f198	f199	f200	f201	f202	f203	f204	f205	f206	f207	f208	f209	f210	f211	f212	f213	f214	f215	f216	f217	f218	f219	f220	f221	f222	f223	f224	f225	f226	f227	f228	f229	f230	f231	f232	f233	f234	f235	f236	f237	f238	f239	f240	f241	f242	f243	f244	f245	f246	f247	f248	f249	f250	f251	f252	f253	f254	f255	f256	f257	f258	f259	f260	f261	f262	f263	f264	f265	f266	f267	f268	f269	f270	f271	f272	f273	f274	f275	f276	f277	f278	f279	f280	f281	f282	f283	f284	f285	f286	f287	f288	f289	f290	f291	f292	f293	f294	f295	f296	f297	f298	f299	f300	f301	f302	f303	f304	f305	f306	f307	f308	f309	f310	f311	f312	f313	f314	f315	f316	f317	f318	f319	f320	f321	f322	f323	f324	f325	f326	f327	f328	f329	f330	f331	f332	f333	f334	f335	f336	f337	f338	f339	f340	f341	f342	f343	f344	f345	f346	f347	f348	f349	f350	f351	f352	f353	f354	f355	f356	f357	f358	f359	f360	f361	f362	f363	f364	f365	f366	f367	f368	f369	f370	f371	f372	f373	f374	f375	f376	f377	f378	f379	f380	f381	f382	f383	f384	f385	f386	f387	f388	f389	f390	f391	f392	f393	f394	f395	f396	f397	f398	f399	f400
k102_ecoli_20X_noerr_1	30325120	4544024	64016	155881	326997	509124	626720	689708	639959	524654	391552	262867	159919	85975	46797	24523	12111	5910	3487	1383	1262	884	632	635	573	190	190	255	127	255	447	576	191	319	191	448	255	576	319	255	191	127	319	191	384	191	191	127	191	127	191	127	191	63	127	63	0	0	0	63	63	63	0	0	0	0	64	128	0	0	0	0	64	192	64	128	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k108_ecoli_20X_noerr_1	26611840	4590245	103963	259076	467707	659819	751357	719147	591036	428354	273293	158566	87184	41351	21193	9553	5019	2021	1325	819	504	635	253	190	447	319	383	127	576	383	191	127	255	319	384	255	191	320	255	320	127	127	255	63	256	127	191	256	127	63	256	0	192	63	0	0	128	0	0	63	64	128	128	64	0	0	0	63	0	64	0	0	0	64	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k114_ecoli_20X_noerr_1	22898560	4559260	176942	397928	656105	815244	804349	653445	460673	285445	153820	80457	36806	16268	5463	3747	1836	627	1208	636	701	254	255	447	255	575	511	383	448	255	512	255	191	255	63	191	384	191	191	63	191	191	191	63	127	127	0	0	63	63	63	0	64	0	64	64	192	64	64	0	63	0	0	0	64	0	0	0	64	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k120_ecoli_20X_noerr_1	19185280	4524179	311313	640229	852884	886477	736914	505281	301630	153940	73158	32200	10962	4703	2475	1267	697	764	574	639	511	511	447	575	768	576	191	576	191	319	319	512	319	384	384	0	0	63	127	192	256	192	0	0	0	0	128	64	128	128	0	0	0	0	0	64	0	0	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k126_ecoli_20X_noerr_1	15472000	4436860	534922	912995	1000421	856677	566146	307827	149965	59139	25678	9309	3434	1459	825	700	702	511	511	639	191	255	1024	319	512	447	319	255	319	255	127	63	0	192	63	128	0	128	63	0	0	0	64	0	64	64	64	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k30_ecoli_20X_noerr_1	74884480	4577249	9986	1408	4161	11395	21701	40010	66129	99738	147367	191730	239743	286539	316051	352861	363103	362142	344792	315343	278084	240760	202603	167199	128402	102088	77822	55862	41967	26985	17124	14434	9952	5983	4064	2913	1698	2276	1191	1385	620	622	625	819	629	247	377	570	763	380	253	702	190	638	383	383	191	63	127	191	319	63	0	127	63	255	191	0	191	127	191	63	255	63	127	127	256	127	256	192	63	192	192	63	127	127	63	0	320	0	320	0	127	127	63	256	192	63	127	63	256	127	256	192	127	192	127	320	63	127	256	63	63	127	0	63	0	63	127	192	0	63	127	127	127	0	63	192	63	63	0	128	128	63	192	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	64	0	0	0	0	0	0	0	0	0	128	64	128	0	128	64	0	64	0	64	64	0	0	0	0	0	192	0	128	64	128	0	0	64	0	64	64	64	0	0	0	0	0	0	0	0	0	0	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k36_ecoli_20X_noerr_1	71171200	4568031	10050	2240	6017	14979	28231	56270	89239	131874	172205	221562	275848	333784	356445	375778	374497	350041	333908	293063	249657	210540	165277	137555	104071	75324	55988	39981	24934	18019	16225	8543	7327	3743	2273	1891	1317	808	939	621	816	499	1141	247	569	122	699	508	253	382	318	446	255	255	127	191	127	191	63	63	63	127	191	191	127	0	0	63	63	256	127	191	384	192	63	63	63	0	0	63	128	63	192	63	256	320	127	128	192	0	63	192	0	192	0	0	63	320	384	127	63	0	192	256	128	320	63	63	128	128	192	127	256	63	63	127	192	256	0	63	127	0	0	0	127	0	0	63	63	128	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	64	64	0	0	192	0	64	0	0	64	64	0	0	0	0	0	0	0	0	64	64	64	64	0	0	64	128	0	64	0	0	0	0	64	64	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k42_ecoli_20X_noerr_1	67457920	4576737	11907	3072	8258	21573	42315	71122	117279	164587	220026	275208	320852	356381	379939	388901	364765	345686	306826	268285	223086	172190	136913	103172	78586	54769	39146	28005	16865	12703	8094	6111	3808	2978	2020	934	1066	876	879	690	564	374	440	186	571	444	381	382	190	190	319	383	127	383	127	63	63	0	127	127	319	191	127	255	0	0	384	191	63	127	63	127	320	63	63	192	127	192	63	127	384	384	192	127	0	0	127	192	63	320	63	63	63	192	127	256	192	127	384	192	384	192	256	320	192	256	256	256	192	127	63	256	191	0	63	127	0	0	63	256	63	63	63	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	64	0	0	0	64	0	192	0	0	0	0	0	0	0	0	0	0	0	64	0	128	0	64	128	0	0	64	64	64	0	0	64	0	64	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k48_ecoli_20X_noerr_1	63744640	4530901	13187	3392	12675	30536	54734	90071	141861	203701	253058	312657	361310	386084	399014	386658	359001	318604	275326	232112	184416	138704	107268	78777	54127	39529	25059	18272	12062	7006	4766	2848	2723	1637	2281	1259	558	1073	756	758	824	250	251	380	189	638	638	318	63	63	63	0	63	191	191	191	191	191	191	127	63	0	0	191	63	63	192	63	192	63	127	192	128	192	63	128	256	128	63	0	63	192	0	128	127	127	127	63	63	256	128	256	384	256	384	128	320	63	128	192	63	63	63	0	256	127	191	0	127	0	0	0	63	0	0	63	0	63	63	63	63	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	64	0	128	0	0	0	64	0	0	64	64	0	64	0	0	0	0	0	128	64	0	0	128	64	0	0	0	0	64	0	0	0	0	64	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k54_ecoli_20X_noerr_1	60031360	4568543	12739	6273	17092	41034	74963	122976	187377	247553	313810	369889	404777	417260	403431	384736	336977	294018	236591	187422	145103	114755	78774	53227	35428	27297	14557	11036	5724	3742	2784	1379	1383	1130	493	560	563	694	632	313	123	252	445	382	446	127	63	255	191	191	191	127	127	127	0	255	127	63	0	63	127	191	192	127	0	63	0	0	63	192	128	0	0	128	192	63	63	0	63	0	256	128	128	128	128	128	128	63	128	63	448	63	192	192	192	256	192	63	63	63	0	63	192	256	127	0	0	63	63	0	0	63	128	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	64	64	0	0	0	0	0	0	64	0	64	64	0	128	0	64	0	0	0	0	0	0	128	0	64	0	0	0	0	0	0	0	0	0	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
