	Genome Haploid Length	Genome Repeat Length	Genome Unique Length
k102_ecoli_20X_1	4684.5	-658.5	5343.5
k108_ecoli_20X_1	4541.0	-541.5	5082.0
k114_ecoli_20X_1	4472.0	-480.0	4952.0
k120_ecoli_20X_1	-1.0	-1.0	-1.0
k126_ecoli_20X_1	2575.0	-179.5	2754.5
k30_ecoli_20X_1	4628905.5	27295.5	4601609.5
k36_ecoli_20X_1	4592971.5	25288.5	4567683.0
k42_ecoli_20X_1	4616726.5	48049.5	4568677.0
k48_ecoli_20X_1	4562353.5	43394.5	4518959.0
k54_ecoli_20X_1	4581153.0	21301.0	4559851.5
k60_ecoli_20X_1	4596353.0	69984.5	4526368.5
k66_ecoli_20X_1	4611497.0	48681.0	4562815.5
k72_ecoli_20X_1	13838.5	3924.5	9914.5
k78_ecoli_20X_1	5243.0	-733.0	5976.0
k84_ecoli_20X_1	4661.0	-648.0	5309.0
k90_ecoli_20X_1	4533.0	-388.5	4921.5
k96_ecoli_20X_1	5044.5	-787.0	5831.5
k102_ecoli_50X_1	4605388.5	87633.0	4517755.5
k108_ecoli_50X_1	4658914.5	79606.0	4579308.5
k114_ecoli_50X_1	12165.0	3082.0	9083.0
k120_ecoli_50X_1	11940.5	2703.0	9237.0
k126_ecoli_50X_1	5396.5	-487.0	5883.5
k102_ecoli_100X_1	4604888.0	89097.0	4515791.5
k108_ecoli_100X_1	4651486.0	75257.5	4576228.5
k114_ecoli_100X_1	-1.0	-1.0	-1.0
k120_ecoli_100X_1	-1.0	-1.0	-1.0
k126_ecoli_100X_1	-1.0	-1.0	-1.0
k30_ecoli_100X_1	4578138.0	39754.0	4538384.0
k36_ecoli_100X_1	4569495.5	39737.5	4529758.0
k42_ecoli_100X_1	4575901.5	31560.5	4544341.0
k48_ecoli_100X_1	4536788.0	54328.0	4482460.5
k54_ecoli_100X_1	4570814.0	30981.5	4539832.5
k60_ecoli_100X_1	4582531.5	47646.5	4534885.0
k66_ecoli_100X_1	4590648.0	36700.0	4553948.0
k72_ecoli_100X_1	4643386.5	71912.5	4571474.5
k78_ecoli_100X_1	4625122.0	74467.0	4550655.0
k84_ecoli_100X_1	4616330.0	65489.5	4550839.5
k90_ecoli_100X_1	4635355.0	72554.5	4562800.0
k96_ecoli_100X_1	4623419.0	66853.5	4556565.0
k102_ecoli_200X_1	4576416.5	57125.5	4519291.0
k108_ecoli_200X_1	4643260.5	69910.5	4573350.0
k114_ecoli_200X_1	-1.0	-1.0	-1.0
k120_ecoli_200X_1	-1.0	-1.0	-1.0
k126_ecoli_200X_1	-1.0	-1.0	-1.0
k30_ecoli_200X_1	4548856.5	17533.5	4531323.0
k36_ecoli_200X_1	4550013.0	22198.5	4527815.0
k42_ecoli_200X_1	4556932.5	20393.0	4536539.0
k48_ecoli_200X_1	-1.0	-1.0	-1.0
k54_ecoli_200X_1	4554427.5	19778.0	4534649.5
k60_ecoli_200X_1	4564419.0	30889.5	4533529.5
k66_ecoli_200X_1	-1.0	-1.0	-1.0
k72_ecoli_200X_1	4611380.5	34572.5	4576808.0
k78_ecoli_200X_1	4583718.0	35534.0	4548184.0
k84_ecoli_200X_1	4582895.5	34085.0	4548810.5
k90_ecoli_200X_1	4593734.5	32747.0	4560987.5
k96_ecoli_200X_1	4595298.0	45330.5	4549967.0
k102_ecoli_20X_2	4459.5	-275.0	4734.5
k108_ecoli_20X_2	2702.0	-474.0	3175.5
k114_ecoli_20X_2	34713.5	24310.0	10403.5
k120_ecoli_20X_2	-1.0	-1.0	-1.0
k126_ecoli_20X_2	-1.0	-1.0	-1.0
k30_ecoli_20X_2	4621623.5	74984.0	4546639.5
k36_ecoli_20X_2	4604678.5	88552.5	4516126.0
k42_ecoli_20X_2	4606507.5	102449.5	4504058.0
k48_ecoli_20X_2	4558006.5	91499.5	4466507.0
k54_ecoli_20X_2	4560544.0	62959.5	4497584.5
k60_ecoli_20X_2	4592341.0	61251.0	4531090.0
k66_ecoli_20X_2	4562902.0	135113.0	4427789.0
k72_ecoli_20X_2	5840.5	-679.0	6519.5
k78_ecoli_20X_2	5627.5	-774.0	6401.5
k84_ecoli_20X_2	4807.0	-688.0	5495.0
k90_ecoli_20X_2	4444.5	-399.0	4843.5
k96_ecoli_20X_2	3538.0	-348.5	3887.0
