	F1	F0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100	f101	f102	f103	f104	f105	f106	f107	f108	f109	f110	f111	f112	f113	f114	f115	f116	f117	f118	f119	f120	f121	f122	f123	f124	f125	f126	f127	f128	f129	f130	f131	f132	f133	f134	f135	f136	f137	f138	f139	f140	f141	f142	f143	f144	f145	f146	f147	f148	f149	f150	f151	f152	f153	f154	f155	f156	f157	f158	f159	f160	f161	f162	f163	f164	f165	f166	f167	f168	f169	f170	f171	f172	f173	f174	f175	f176	f177	f178	f179	f180	f181	f182	f183	f184	f185	f186	f187	f188	f189	f190	f191	f192	f193	f194	f195	f196	f197	f198	f199	f200	f201	f202	f203	f204	f205	f206	f207	f208	f209	f210	f211	f212	f213	f214	f215	f216	f217	f218	f219	f220	f221	f222	f223	f224	f225	f226	f227	f228	f229	f230	f231	f232	f233	f234	f235	f236	f237	f238	f239	f240	f241	f242	f243	f244	f245	f246	f247	f248	f249	f250	f251	f252	f253	f254	f255	f256	f257	f258	f259	f260	f261	f262	f263	f264	f265	f266	f267	f268	f269	f270	f271	f272	f273	f274	f275	f276	f277	f278	f279	f280	f281	f282	f283	f284	f285	f286	f287	f288	f289	f290	f291	f292	f293	f294	f295	f296	f297	f298	f299	f300
k30_ecoli_100X_1	374422400	38826753	32922063	1285348	47870	3449	310	127	63	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	64	0	64	128	0	0	64	192	256	384	384	255	1025	1280	2563	3971	4033	6598	9993	10820	14090	19472	20616	25424	36897	39119	51366	51727	63913	74217	85486	90787	106043	118649	129657	131559	146757	149807	159614	165496	164458	164780	170296	172338	173424	167969	169198	160280	152792	139850	131088	118662	116954	102269	89918	87056	80969	65778	58752	52095	45502	37625	32445	27901	25024	20411	16636	14591	10169	8510	7616	6206	5375	4158	3006	2046	2176	1534	1343	702	575	895	510	190	254	126	190	61	61	60	60	188	315	5	5	186	121	184	184	183	54	310	116	180	180	371	178	178	241	369	433	432	496	752	367	367	175	304	240	112	240	497	241	113	114	243	564	371	180	309	181	118	119	120	56	57	57	58	58	4	4	60	3	125	125	61	2	1	62	1	1	1	0	0	0	0	63	0	0	0	63	0	0	0	0	64	192	0	128	127	192	0	0	192	127	63	63	192	127	0	128	256	320	127	127	127	192	63	320	127	256	191	191	63	128	0	64	0	128	63	63	384	63	128	127	63	192	63	63	128	63	256	191	0	0	0	0	0	64	0	0	0	0	0	64	0	192	63	0	64	0	64	0	64	64	128	63	128	0	0	0	0	0	64	63	63	63	0	64	128	0	64	63	63	0	0	0	0	64	63	0	0	0	64	63	63	63	63	0	64	0
k36_ecoli_100X_1	355856000	42939248	37020605	1309849	46680	3118	117	63	0	0	64	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	64	0	128	320	320	640	768	1473	2114	3267	4740	5763	8392	10760	12936	17679	22609	27282	35548	42074	48796	58854	68713	78764	91958	97639	119376	124975	140039	149758	155703	165313	173633	174448	182915	178662	181622	182963	170128	176058	163022	162216	148616	133183	127443	112443	104328	96198	82807	71673	63357	59013	50425	41398	35772	29625	25918	22333	15219	13952	11902	10495	7418	5436	4863	3710	3391	1724	1471	1215	638	575	895	189	382	382	189	61	3	253	188	123	187	186	121	121	184	183	118	246	52	116	115	307	306	241	241	240	47	240	303	495	431	366	559	174	303	367	303	240	369	369	241	50	243	372	244	116	117	311	118	312	248	185	57	122	123	123	124	3	61	2	125	61	2	62	1	1	63	1	0	63	127	0	0	0	0	0	0	0	64	0	0	128	0	128	63	0	256	63	0	128	0	128	63	128	63	192	63	192	256	256	0	64	128	127	192	0	192	127	192	256	127	63	0	0	64	128	127	256	191	0	64	63	192	0	128	63	0	128	128	0	64	128	63	192	0	0	64	64	0	256	0	0	0	0	0	0	0	0	0	64	0	0	64	128	63	63	0	0	64	63	0	64	63	0	0	0	0	64	0	64	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k42_ecoli_100X_1	337289600	46391604	40461688	1319944	41710	2221	119	63	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	64	0	64	0	0	0	64	128	0	320	127	513	833	1345	1536	3076	4933	5956	7557	10313	13066	17872	20748	30367	35221	42974	51555	60839	72239	86843	100541	114497	124153	133178	150418	166356	170103	174521	169120	179400	192403	188072	183268	181996	185144	173393	167388	154954	139967	133650	121923	105459	98054	84083	77250	68027	56883	50621	43192	34226	30012	22258	17913	16705	12280	9467	8062	6012	5247	4093	3518	2493	1533	1792	1470	893	509	638	445	188	3	381	379	58	186	57	121	312	54	118	53	181	51	243	50	242	48	112	176	303	239	303	174	687	365	558	622	366	431	367	47	561	176	434	370	178	179	437	245	310	567	182	120	185	121	5	187	123	124	124	3	2	2	2	126	1	1	1	0	63	63	63	63	0	192	127	0	0	128	0	64	0	0	128	0	0	0	64	192	127	127	0	128	192	0	128	127	127	127	192	256	63	256	63	63	256	63	128	63	128	192	127	0	128	192	63	0	128	127	0	192	0	0	128	63	0	64	0	192	0	0	64	64	0	0	0	64	64	0	128	128	0	64	128	63	0	0	0	64	64	0	64	63	0	0	0	0	64	63	63	0	64	63	128	128	0	128	0	64	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	64	64	0	64	0	64	0	0	0	0	0	0	0	0	0
k48_ecoli_100X_1	318723200	49023093	43202206	1265921	33804	1918	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	128	128	128	256	384	576	704	1859	2819	4806	6534	9032	10823	16723	22421	26385	34462	44775	55081	66030	79352	86249	99131	120022	132677	134120	154076	169365	180108	183866	194831	198269	194601	203789	190672	193529	187489	173577	157502	148430	140046	123252	107185	96508	82801	78215	63081	54583	50818	38955	34428	26995	20531	17788	15485	11255	9405	8447	6652	4731	3260	2108	1790	1983	1212	1021	636	637	765	635	507	250	6	185	184	55	183	182	117	180	51	563	176	176	240	303	431	815	236	366	430	493	237	558	1007	300	559	367	240	305	434	434	178	436	52	310	246	311	184	7	6	58	58	59	4	3	61	61	61	62	1	1	1	63	1	127	0	127	191	191	63	63	63	127	0	0	128	63	63	0	64	0	128	192	127	256	127	0	0	128	127	448	319	255	63	192	0	64	192	191	63	0	256	191	127	63	128	127	0	0	64	63	192	63	0	192	0	64	0	64	0	0	128	0	0	0	0	0	0	64	64	63	192	0	0	0	0	0	64	0	0	64	0	0	0	0	64	0	64	0	64	63	0	0	0	0	0	0	0	0	0	192	0	0	64	0	0	0	0	0	64	64	0	0	64	64	0	0	0	0	0	0	0	0	64	64	0	0	0	0	0	0	0	64	0	0	64	0	0	0	0	0	0	0	0	0	0	0	192	0	0	128	0	0	128
k54_ecoli_100X_1	300156800	51068467	45295596	1182182	31044	1734	185	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	64	64	577	511	640	1410	1408	3719	5510	7110	10572	15184	19473	27742	33946	40862	51948	63280	81094	90161	108623	120320	147312	155714	164034	182434	187135	199061	205256	208576	208439	209787	202722	190737	190898	173823	164497	148924	137283	121524	103401	96389	79976	66861	59129	48752	40563	34102	27123	21044	17915	12211	10750	9470	6456	5052	3515	2620	1660	1277	1213	571	572	443	507	314	378	248	312	182	182	117	244	50	114	113	240	239	110	302	558	557	171	236	429	236	493	557	429	301	174	303	496	240	49	243	115	116	117	118	183	55	313	57	122	5	59	124	3	2	2	2	1	126	126	62	127	1	0	63	0	0	192	0	128	63	63	0	64	192	127	127	127	192	512	62	192	127	127	127	127	127	192	256	127	127	0	0	256	63	192	127	127	192	127	0	128	256	127	63	0	0	64	0	192	0	64	64	0	64	0	0	0	0	64	0	64	0	0	0	64	63	63	0	0	0	0	0	64	0	0	128	0	0	0	0	0	0	0	64	0	0	0	0	128	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	64	64	0	0	0	64	0	0	0	64	0	0	0	0	0	0	64	0	0	0	0	0	0	0	64	0	0	64	0	0	64	64	64	64	0	64	0	0	0	64	0	0	0	0	0	0	0	0	0	0	64	64	0	0	0	0	0
k60_ecoli_100X_1	281590400	52329536	46628918	1112007	26903	1555	250	0	0	0	0	0	0	0	0	0	0	64	0	0	0	64	128	128	192	513	447	1154	1730	3461	6474	7749	12368	16335	20240	31078	37468	48620	60337	76353	93513	110991	126028	143447	163299	180384	190479	202327	217123	218687	220993	216621	218559	211813	200790	187917	174022	164367	147062	134142	115818	99756	88503	68441	61499	52211	40810	37118	26601	22778	17140	12918	9849	8637	5559	4797	3643	3261	2170	1531	1211	569	442	377	441	375	310	245	309	50	243	369	240	175	302	365	621	106	685	426	684	234	556	491	428	749	428	366	495	496	176	178	179	51	181	182	9	56	121	121	5	4	4	3	61	61	2	126	62	62	1	0	63	0	127	255	127	0	63	0	0	0	64	256	127	0	128	127	320	191	256	127	63	128	63	256	63	320	63	192	127	127	63	0	192	63	192	256	63	63	63	128	63	63	128	128	0	0	0	64	0	0	0	0	0	0	0	0	128	63	0	128	0	64	0	0	64	0	64	0	0	64	0	0	0	0	0	0	64	0	0	64	0	0	0	0	64	0	0	0	64	0	0	0	0	0	0	64	0	0	0	128	0	0	0	0	0	0	0	64	0	64	0	0	0	0	0	0	0	64	0	64	0	0	0	64	0	0	64	128	63	0	0	0	0	0	0	0	0	64	0	64	0	0	64	0	64	64	128	0	0	0	0	0	64	64	64	0	0	0	0	64	0	64	0	0	0	0	192	63	0	0
k66_ecoli_100X_1	263024000	53331717	47687711	1047923	26047	1047	4	0	0	0	0	0	0	0	0	0	0	0	0	0	64	385	63	834	1410	1857	3076	5769	9677	13647	19734	26394	33950	43944	56370	71936	93462	112597	129748	142346	167733	182363	196316	210786	225831	227201	233167	233599	228398	220772	209238	204070	180075	160882	144759	131580	113835	101109	84004	69159	57581	43940	34091	27828	21362	15731	14077	11386	7348	6075	3703	2939	2491	1401	1018	954	696	632	438	309	244	115	242	176	304	174	237	300	299	363	491	490	297	362	555	426	106	428	364	558	45	304	305	177	243	308	438	374	54	120	121	186	5	60	3	2	2	2	1	62	1	63	63	127	0	0	0	0	63	128	256	127	63	192	0	64	128	192	127	192	191	191	191	63	128	320	0	64	256	63	63	0	0	128	192	0	128	128	63	0	64	63	0	0	192	0	64	0	0	64	64	0	0	64	0	0	64	0	64	0	64	63	0	0	0	64	0	128	0	64	0	0	0	0	64	0	64	0	64	0	0	64	64	0	0	0	0	0	0	0	0	64	64	0	0	64	0	0	0	0	0	0	0	0	0	0	0	64	0	0	64	64	0	0	64	64	64	0	0	0	64	0	0	0	64	64	0	64	0	0	0	64	0	64	0	0	0	0	0	0	128	63	0	0	0	64	0	0	64	64	0	64	128	0	0	0	0	128	63	64	64	64	192	127	0	0	128	0	64	64	0	0	0	0	0	128	0	0	192	127	128	63
k72_ecoli_100X_1	244457600	53200559	47556061	1016694	26206	1177	59	63	0	0	0	0	0	0	0	0	0	64	64	192	448	1154	1858	3333	5062	9358	12877	20892	26455	37930	49647	63930	86423	102602	123485	146152	163165	193675	204888	229571	237591	252269	249917	255187	246634	239210	225814	204858	186685	168440	143775	129785	108447	95154	71760	62902	49382	42037	29218	25017	17646	13558	11001	7349	5625	4153	2937	1912	1464	1079	566	502	500	435	305	176	175	494	556	298	426	297	489	873	294	488	296	746	296	298	363	429	430	367	368	305	243	52	118	54	56	185	122	187	59	3	61	125	2	1	62	127	62	63	63	63	0	192	127	127	127	320	1	0	128	127	384	127	127	320	191	256	63	256	255	255	191	0	128	127	192	63	128	63	128	0	128	63	63	0	0	64	0	0	0	0	0	0	0	0	0	0	128	0	64	0	128	127	0	64	63	63	0	0	0	0	0	0	0	0	0	192	0	0	0	64	0	64	0	0	64	0	0	64	0	64	64	0	64	0	0	64	64	64	128	0	64	0	0	128	0	128	0	0	64	64	64	0	64	64	64	0	128	0	64	0	64	64	0	0	0	0	64	64	64	64	0	0	64	0	0	0	0	0	0	128	0	64	192	63	128	128	0	0	64	0	0	128	63	128	63	128	63	0	128	63	0	64	0	0	0	64	0	64	192	63	0	64	64	192	63	64	0	0	0	64	0	64	64	64	64	64	128	128	63	63	64	128	0	128	0	128
k78_ecoli_100X_1	225891200	52874883	47288869	990191	21866	870	3	64	0	0	0	64	0	0	0	128	0	256	641	1153	2500	3331	8721	12365	20059	28062	39017	59337	71157	93207	121071	140573	160869	188159	218448	234605	239438	262278	267415	269004	265468	252318	232581	212799	192248	172661	154035	130912	105491	87779	69854	52507	46842	34790	26092	19440	14772	11382	7154	4854	3961	2999	2166	1204	1206	755	498	240	303	366	364	298	233	617	295	487	166	359	744	294	617	681	297	364	301	431	368	241	115	116	182	55	313	185	58	4	124	3	61	61	254	126	62	1	127	0	127	0	128	63	256	191	191	191	191	127	320	319	191	256	63	256	63	128	127	320	127	63	128	192	127	127	127	63	128	63	63	0	128	0	0	0	0	0	0	192	63	0	0	0	64	0	0	0	64	63	63	0	64	0	64	0	0	64	0	0	0	0	0	0	0	0	64	63	0	64	0	64	64	0	0	64	0	0	0	0	0	64	64	64	0	128	0	0	64	64	0	64	64	64	64	64	0	64	128	63	0	0	0	64	0	64	0	64	64	0	0	0	0	0	0	0	64	64	0	0	128	0	64	128	0	0	64	0	128	128	384	63	63	64	128	0	64	0	64	128	63	64	64	0	192	63	0	64	0	128	0	128	256	127	192	127	0	128	0	128	128	0	64	0	0	192	0	0	192	127	63	0	0	128	128	63	63	128	128	128	63	63	0	0	0	64	63	0	0	0	0	0	64	0	0	64
k84_ecoli_100X_1	207324800	51811552	46331965	887906	19054	1142	59	63	0	0	0	0	0	64	192	320	1539	2627	4614	6727	10059	17112	26978	40047	59333	79501	105444	128932	157112	185857	215051	239235	256308	278279	284574	291232	284152	264078	252899	232260	207794	185137	153552	123981	104997	83481	69225	52317	41258	29477	20842	17078	11375	7024	5880	4084	2932	1586	1588	944	559	558	363	555	810	165	230	294	614	292	357	422	872	229	361	876	555	301	239	112	243	308	181	183	56	122	122	4	124	61	2	1	1	255	126	127	255	255	127	127	0	63	192	127	192	127	192	0	64	0	192	191	127	127	63	63	63	0	128	127	63	63	128	63	128	63	63	0	0	64	63	0	0	64	128	0	0	0	64	0	64	0	0	0	0	0	0	0	0	64	63	0	64	63	128	0	0	0	64	64	64	0	64	128	63	0	64	64	64	0	0	0	0	0	0	256	0	0	64	64	64	0	0	64	64	0	0	64	192	0	64	0	0	64	0	64	64	0	0	64	0	64	0	0	64	0	64	192	63	64	0	64	64	0	128	128	0	0	64	64	64	64	64	0	128	128	0	192	127	192	127	128	63	128	63	0	64	128	128	63	0	64	64	64	64	64	0	64	0	0	64	0	0	64	192	127	0	0	0	64	0	0	0	0	64	63	0	0	0	64	0	0	64	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
