	F1	F0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100	f101	f102	f103	f104	f105	f106	f107	f108	f109	f110	f111	f112	f113	f114	f115	f116	f117	f118	f119	f120	f121	f122	f123	f124	f125	f126	f127	f128	f129	f130	f131	f132	f133	f134	f135	f136	f137	f138	f139	f140	f141	f142	f143	f144	f145	f146	f147	f148	f149	f150	f151	f152	f153	f154	f155	f156	f157	f158	f159	f160	f161	f162	f163	f164	f165	f166	f167	f168	f169	f170	f171	f172	f173	f174	f175	f176	f177	f178	f179	f180	f181	f182	f183	f184	f185	f186	f187	f188	f189	f190	f191	f192	f193	f194	f195	f196	f197	f198	f199	f200	f201	f202	f203	f204	f205	f206	f207	f208	f209	f210	f211	f212	f213	f214	f215	f216	f217	f218	f219	f220	f221	f222	f223	f224	f225	f226	f227	f228	f229	f230	f231	f232	f233	f234	f235	f236	f237	f238	f239	f240	f241	f242	f243	f244	f245	f246	f247	f248	f249	f250	f251	f252	f253	f254	f255	f256	f257	f258	f259	f260	f261	f262	f263	f264	f265	f266	f267	f268	f269	f270	f271	f272	f273	f274	f275	f276	f277	f278	f279	f280	f281	f282	f283	f284	f285	f286	f287	f288	f289	f290	f291	f292	f293	f294	f295	f296	f297	f298	f299	f300
k102_ecoli_20X_1	30325120	12881628	8565908	483796	700187	818689	759309	606887	418708	253930	140321	68135	30519	15051	5592	2469	1135	1142	1274	444	702	446	255	319	447	255	576	383	383	383	576	319	255	255	127	448	127	192	191	127	63	63	192	127	127	63	128	63	0	64	63	63	128	0	0	64	0	0	0	64	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k108_ecoli_20X_1	26611840	12245194	8050023	672002	874548	874952	707067	490906	293154	150676	70819	30712	12877	5726	1770	1203	761	444	125	319	447	575	511	383	255	255	320	448	512	704	383	512	63	127	127	191	191	191	127	0	0	64	63	128	128	0	64	128	128	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k114_ecoli_20X_1	22898560	11420371	7484973	885358	978056	856120	585245	339546	167116	71582	28154	10194	3556	1328	1272	443	510	255	383	640	768	575	447	576	127	448	447	576	383	191	127	256	0	63	128	127	63	0	0	64	128	63	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k120_ecoli_20X_1	19185280	10472759	6927677	1085985	1020856	713012	398995	192008	80544	29823	10713	2922	1141	1083	701	575	703	896	960	639	703	960	255	383	127	320	127	63	63	63	128	0	64	63	0	0	0	0	0	64	0	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k126_ecoli_20X_1	15472000	9308633	6310425	1228755	897891	512287	226558	83870	28869	8160	3313	1465	957	702	1087	895	383	640	319	640	191	255	255	191	191	127	0	0	64	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k30_ecoli_20X_1	74884480	11593927	6962520	66667	7786	17864	38034	63579	102827	159809	221844	282916	328489	365167	378985	378530	366873	344397	302776	265646	225823	177868	140355	111931	85169	58919	41316	26463	16989	12893	8540	4060	3487	1760	1315	1126	1065	1004	559	625	180	566	760	505	763	764	317	317	382	318	127	255	191	575	319	191	255	383	191	127	191	0	0	0	63	63	63	63	192	0	63	192	256	127	192	127	63	128	192	63	192	320	127	63	192	512	255	127	127	63	128	63	0	192	192	63	63	256	256	127	384	127	256	320	0	256	63	192	63	63	128	63	63	128	63	128	127	127	192	0	0	0	128	0	0	128	63	128	0	0	0	64	63	0	0	64	0	0	0	64	64	0	64	192	0	64	0	0	0	128	0	0	64	0	0	64	64	64	64	128	0	64	128	0	0	64	64	0	0	64	64	0	64	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k36_ecoli_20X_1	71171200	12460197	7841909	63089	11307	26317	51417	94252	144509	210710	283820	328747	369652	385836	402352	383962	364370	325500	274983	221011	182605	140924	104753	72231	51812	39393	24154	14297	11740	7451	3676	2783	1185	1702	744	876	751	241	628	502	312	442	315	252	509	61	446	254	127	255	511	127	127	384	127	191	384	0	256	63	63	0	192	63	256	127	63	63	256	63	128	127	192	127	127	127	320	191	63	256	127	127	192	448	127	256	127	127	320	127	63	63	128	192	127	127	127	192	127	63	0	0	0	128	127	63	192	63	63	63	128	63	63	63	128	0	0	64	0	0	128	0	64	63	0	192	63	0	0	128	0	0	0	192	0	64	64	0	64	0	0	0	0	0	64	64	0	0	64	0	64	64	0	0	0	0	0	64	0	64	0	0	0	64	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k42_ecoli_20X_1	67457920	13134107	8510759	65463	18157	40469	76005	132927	199894	271788	344575	380534	414269	433081	407707	366406	335104	279778	228306	177088	135862	95271	71589	47644	29528	18840	14169	7127	4699	2973	2209	1829	1128	811	623	626	629	247	633	443	572	765	189	382	318	191	127	255	383	191	127	127	191	191	127	0	256	191	0	0	320	127	63	192	192	0	64	192	63	320	127	63	384	127	192	256	320	448	127	512	319	255	191	127	192	256	320	127	192	320	191	63	63	127	192	63	0	63	256	127	127	192	127	0	128	0	128	127	128	128	128	63	63	128	192	0	128	63	63	63	0	0	0	0	0	0	0	0	0	0	64	64	0	64	64	0	0	0	64	0	64	0	0	0	0	0	64	128	63	0	0	0	0	0	0	64	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k48_ecoli_20X_1	63744640	13636386	9063703	66015	28211	57630	114684	180178	257772	337346	393796	425919	443451	424288	393551	338417	285216	225736	174843	132207	98086	64410	42968	25493	19673	10005	7642	3932	2272	1636	1064	555	751	562	693	375	377	379	636	509	510	190	383	383	319	191	319	319	191	191	0	127	191	63	63	63	63	63	63	192	63	0	0	128	0	320	191	127	192	320	191	192	192	256	127	256	256	191	192	576	63	63	192	191	256	0	63	192	0	0	256	63	320	255	63	63	63	128	0	0	0	0	128	63	0	64	0	64	128	0	0	0	0	0	64	192	0	0	64	128	128	0	64	64	0	0	0	0	0	0	64	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k54_ecoli_20X_1	60031360	14067453	9460478	70671	45565	87918	156559	234024	344856	400200	457239	460344	461493	418254	364342	299418	238791	178033	132520	86680	57814	40533	22095	14612	7893	5273	4126	2209	1254	1387	686	562	373	376	250	443	637	445	318	254	447	191	191	127	319	191	191	127	127	63	127	127	0	63	128	0	0	0	256	191	127	128	0	384	191	127	128	192	63	320	63	128	192	127	256	127	256	127	127	127	127	256	63	128	0	64	63	192	127	63	0	64	63	128	0	0	64	0	0	0	128	0	0	0	128	0	0	128	128	0	64	0	0	64	64	64	128	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
