Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k102_ecoli_20X_noerr_1-contigs	684	479	286	164	31	5	4588822	4520958	4001262	3116191	1128605	279483	523	62533	4553656	4641652	50.74	50.79	14640	14194	8452	8085	95	98	197	205	0	0	0	0	0	0 + 0 part	0	97.997	1.001	0.00	0.07	0.00	62533	4553656	14640	14194	8452	8085	95	98	197	205
k108_ecoli_20X_noerr_1-contigs	931	689	324	142	16	0	4587865	4495255	3505744	2224596	503454	0	756	46366	4545053	4641652	50.75	50.79	9825	9515	5397	5072	147	152	306	320	0	0	0	0	0	0 + 0 part	0	97.757	1.002	0.00	0.09	0.02	46366	4545053	9825	9515	5397	5072	147	152	306	320
k114_ecoli_20X_noerr_1-contigs	1427	1018	301	72	0	0	4578441	4383078	2518101	950270	0	0	1189	24494	4509003	4641652	50.75	50.79	5643	5518	3290	3102	252	264	514	545	0	0	0	0	0	0 + 0 part	0	96.867	1.003	0.00	0.27	0.04	24494	4509002	5643	5518	3290	3102	252	264	514	545
k120_ecoli_20X_noerr_1-contigs	1779	1193	253	44	0	0	4566260	4245756	1949024	545374	0	0	1497	19982	4474389	4641652	50.75	50.79	4361	4191	2451	2278	315	335	658	711	0	0	0	0	0	0 + 0 part	0	95.928	1.005	0.00	0.52	0.00	19982	4474273	4361	4191	2451	2278	315	335	658	711
k126_ecoli_20X_noerr_1-contigs	4137	1600	18	0	0	0	4336107	2938381	107752	0	0	0	2930	8542	3906042	4641652	50.80	50.79	1556	1338	1004	730	815	1069	1592	2233	1	1	3307	0	0	0 + 0 part	0	83.671	1.006	0.00	1.44	0.00	8542	3905977	1556	1337	1004	730	815	1070	1593	2234
k30_ecoli_20X_noerr_1-contigs	1223	370	246	144	44	8	4578627	4494216	4157528	3371865	1795951	538034	396	127974	4513350	4641652	50.74	50.79	20066	19329	9904	9566	65	68	146	156	0	0	0	0	0	0 + 0 part	0	97.161	1.001	0.69	0.53	0.02	127974	4513350	20066	19329	9904	9566	65	68	146	156
k36_ecoli_20X_noerr_1-contigs	943	297	216	146	55	13	4580799	4507976	4306704	3770657	2332778	879768	320	138271	4524983	4641652	50.75	50.79	25785	25436	13463	12726	53	55	114	121	0	0	0	0	0	0 + 0 part	0	97.409	1.001	0.38	0.49	0.02	138271	4524983	25785	25436	13463	12726	53	55	114	121
k42_ecoli_20X_noerr_1-contigs	702	223	164	123	62	26	4580350	4523341	4387999	4074824	3103823	1824942	238	138285	4534518	4641652	50.75	50.79	41251	38470	19142	18045	36	38	76	80	0	0	0	0	0	0 + 0 part	0	97.622	1.001	0.37	0.40	0.02	138285	4534518	41251	38470	19142	18045	36	38	76	80
k48_ecoli_20X_noerr_1-contigs	567	175	126	100	62	32	4580569	4527391	4416297	4213204	3611873	2537272	187	218940	4536737	4641652	50.74	50.79	56254	53909	29989	28502	27	28	55	58	0	0	0	0	0	0 + 0 part	0	97.693	1.000	0.31	0.44	0.00	218940	4536737	56254	53909	29989	28502	27	28	55	58
k54_ecoli_20X_noerr_1-contigs	489	156	116	95	66	35	4581329	4531379	4439910	4280118	3830231	2768079	168	218946	4540363	4641652	50.75	50.79	57834	57773	31578	30839	26	27	52	54	0	0	0	0	0	0 + 0 part	0	97.776	1.000	0.31	0.44	0.00	218946	4540363	57834	57773	31578	30839	26	27	52	54
